Queries,Src,Event time,Event Type,,,Subtype,Topic,,,,,,,
april fools day pranks for kids,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fools jokes,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fools jokes,AOL_impl,20060401,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fools pranks,AOL_impl,20060401,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fool's pranks,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fools screensaver,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
arizona st football schedule 2006,AOL_expl,20060831-20061224,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,future event,,,,,,
ash wednesday,AOL_expl,20060301,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
ash wednesday,AOL_impl,20060301,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
atlanta braves 2006 schedule atlanta braves may s,AOL_expl,20060501-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
australian miners,MSN_impl,20060509,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
avatar,MSN_impl,20061010,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
avatar the last airbender,MSN_impl,20061010,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
avatars,MSN_impl,20061010,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
battle of chancellorsville,MSN_impl,18630430-18630506,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,,,,,,,
battle of gettysburg,MSN_impl,18630701-18630703,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,,,,,,,
battle of puebla,MSN_impl,18620505,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,,,,,,,
battle of stalingrad,MSN_impl,19420823-19430202,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,,,,,,,
battle of the bulge,MSN_impl,19441216-19560116,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,,,,,,,
battle of waterloo june 18th 1815 mezzotint,AOL_expl,18150618,1: Past event (before 01/03/2006),,,5: Commemorative,2: Fact,,,,,,,
battlefield 2,MSN_impl,20050621,3: Future event (after 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
bear attacks 2006,MSN_expl,20060428,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
big brother,MSN_impl,20060606-20060912,3: Future event (after 31/05/2006),Recurrent,1-week,3: Anticipated,3: Entertainment,,,,,,,
big brother 2006,MSN_expl,20060606-20060912,3: Future event (after 31/05/2006),Recurrent,1-week,3: Anticipated,3: Entertainment,,,,,,,
big brother 6,AOL_impl,20050707-20050920,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,5: Commemorative,3: Entertainment,,,,,,,
big brother 7,AOL_impl,20060606-20060912,3: Future event (after 31/05/2006),Recurrent,1-week,3: Anticipated,3: Entertainment,,,,,,,
big brother 7,MSN_impl,20060606-20060912,3: Future event (after 31/05/2006),Recurrent,1-week,3: Anticipated,3: Entertainment,,,,,,,
billboard,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,ambiguous,,,,,,
billboard top 100,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,ambiguous,,,,,,
billboard.com,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,ambiguous,,,,,,
bird flu,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
bird flu,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
bloomsday 2006 dublin,AOL_expl,20060616,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
bo derek,AOL_impl,20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://en.wikipedia.org/wiki/Bo_Derek,,,,,,
bob deagle,AOL_impl,20060425,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,,,,,,,
bollywood events gallerys in 2006,AOL_expl,20060415,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,http://www.artesme.com/en/event/gallery/april-2006-bollywood-concert-abu-dhabi-cricket-staduim.html,,,,,,
bollywood events in 2006,AOL_expl,20060415,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,ambiguous,,,,,,
bombing of world trade in 1993,AOL_expl,19930226,1: Past event (before 01/03/2006),,,5: Commemorative,2: Fact,,,,,,,
bondage,AOL_impl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
boston marathon,AOL_impl,20060417,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,Planned,2: Ongoing,6: Sports,,,,,,,
boston red sox,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-day,2: Ongoing,6: Sports,,,,,,,
boston redsox,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-day,2: Ongoing,6: Sports,,,,,,,
braves braves 2006 schedule,AOL_expl,20060501-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,6: Sports,,,,,,,
bridge concert 2006,AOL_expl,20061021-20061022,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
british open 2007,AOL_expl,20070719-20070722,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
cabelas,MSN_impl,20051025,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,3: Entertainment,,,,,,,
cabellas,MSN_impl,20051025,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,3: Entertainment,,,,,,,
california lottery,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,1: News,,,,,,,
california lotto,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,1: News,,,,,,,
candice michelle,AOL_impl,20060402,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,5: Celebrity,,,,,,,
candice michelle nude,AOL_impl,20060402,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,5: Celebrity,,,,,,,
cannes 2006,AOL_expl,20060517-20060528,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
cannes film festival,MSN_impl,20060517-20060528,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
cannes film festival 2006,AOL_expl,20060517-20060528,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
cannes film festival 2006,MSN_expl,20060517-20060528,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
caramoor 2006,AOL_expl,20060729-20060805,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
catherine bell,AOL_impl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
catherine bell nude,AOL_impl,20060301-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
catholic easter season 2006,MSN_expl,20060416-20060423,1: Past event (before 01/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
celebrating easter sunday,AOL_expl,20060416,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
champions league 2006 poster,AOL_expl,20060517,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
cheerleading competitions in ohio may 2006,AOL_expl,20060501-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
cheese making seminars may 2006,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
cherry blossom festival,AOL_impl,20060422,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
chili verde,AOL_impl,20060328,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,Planned,1: Breaking,1: News,http://www.conagrafoods.com/news-room/news-World-Returns-to-Omaha-for-40th-Anniversary-of-Worlds-Championship-Chili-Cookoff--ConAgra-Foods-Sponsorship-to-Serve-Up-Ingredients-for-Award-winning-Recipes-1008684,,,,,,
christmas 2006,AOL_expl,20061225,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
chuck norris,AOL_impl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,2: Fact,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&ved=0CEAQFjAB&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FChuck_Norris_facts&ei=qFrtULr9L8jFswaW44DgBg&usg=AFQjCNG_SFqy9zzIlJNORw4Ypv3Ecg9DRA&sig2=HPCZdbWevKrNQCj3cizLzA&bvm=bv.1357316858,d.Yms",,,,,,
chuck norris jokes,AOL_impl,20060320,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,2: Fact,,,,,,,
cincinnati cinco de mayo 2006,AOL_expl,20060505,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,Planned,2: Ongoing,7: Holiday,,,,,,,
cinco de mayo,AOL_impl,20060505,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
cinco de mayo,MSN_impl,20060505,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
cinco de mayo 2006,MSN_expl,20060505,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
cinco de mayo parade 2006 san jose ca,MSN_expl,20060505,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
civil war',AOL_impl,20060701-20070731,3: Future event (after 31/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,future event,ambiguous,,,,,
clive owen,AOL_impl,20060324,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
cma awards 2006,MSN_expl,20061107,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,future event,,,,,,
coabe 2006 conference,AOL_expl,20060426-20060429,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
cole hauser,AOL_impl,20060602,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,5: Celebrity,ambiguous,,,,,,
conventions in san antonio texas may 4 2006,AOL_expl,20060504,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
country music awards,AOL_impl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
country music awards 2006,MSN_expl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
craigs list chicago,AOL_impl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,ambiguous,,,,,,
craigslist,AOL_impl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,ambiguous,,,,,,
cruzando 2006,MSN_expl,20060622,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
csi,AOL_impl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
csi,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
csi miami,AOL_impl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
csi.com,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
ct lottery,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
ctlottery.org,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
da vinci code,AOL_impl,20060519,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
da vinci code,MSN_impl,20060519,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
daddy yankee,AOL_impl,20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,http://en.wikipedia.org/wiki/Daddy_Yankee,,,,,,
daily racing form,AOL_impl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,6: Sports,,,,,,,
daily racing form results,AOL_impl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,6: Sports,,,,,,,
dana reeve,AOL_impl,20060306,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,,,,,,,
dana reeves,AOL_impl,20060306,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,,,,,,,
dance dance fall out boy,AOL_expl,20060418,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,5: Celebrity,http://www.amazon.com/Dance-Fall-Out-Boy/dp/B000F4L7HG,,,,,,
dancing with the stars,AOL_impl,20060105-20060224,1: Past event (before 01/03/2006),Recurrent,1-week,4: Meme,3: Entertainment,past event,,,,,,
danica patrick,AOL_impl,20060511,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,http://www.imdb.com/title/tt0794710/,,,,Planned,,
date of ucla graduation for 2006,AOL_expl,20060512-20060618,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,2: Fact,,,,,,,
david beckham,AOL_impl,20060609-20060709,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
david blaine,AOL_impl,20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,Planned,,,,,,
david blane,MSN_impl,20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
david gilmour 2006 tour setlist,AOL_expl,20060530,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
davinci code,AOL_impl,20060519,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
day light savings time,AOL_impl,20060402-20061029,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
daylight savings 2006,AOL_expl,20060402-20061029,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
daylight savings time,AOL_impl,20060428,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
daytime emmy awards,MSN_impl,20060428,1: Past event (before 01/05/2006),Recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
debra lafave,AOL_impl,20060322,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,http://edition.cnn.com/2006/LAW/03/21/charges.dropped/,,,,,,
del mar fair,MSN_expl,20060610-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,3: Future event (after 31/05/2006),,,,,,
del mar fair,MSN_impl,20060610-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,ambiguous,,,,,,
demi moore,AOL_impl,20060117,1: Past event (before 01/03/2006),Non-recurrent,Planned,4: Meme,5: Celebrity,past event,http://www.imdb.com/title/tt0412798/releaseinfo,,,,,
depression of 1930's,AOL_expl,19291029,1: Past event (before 01/03/2006),,,5: Commemorative,2: Fact,,,,,,,
desibaba,AOL_impl,20060224,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,4: Meme,9: Unknown,http://mcjonline.com/www/desibaba.com,,,,past event ,,
desperate housewives,MSN_impl,20050925-20060521,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
detroit symphony may 2006,AOL_expl,20060522,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
detroit tigers,MSN_impl,20060403-20061030,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,3: Entertainment,recurrent,planned,,,,,
dia de las madres,MSN_impl,20060510,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,http://en.wikipedia.org/wiki/Mother%27s_Day#Mexico,,,,,,
diner dash 2,MSN_impl,20060118,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,4: Meme,3: Entertainment,,,,,,,
dog the bounty hunter,AOL_impl,20060329,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,http://en.wikipedia.org/wiki/Dog_the_Bounty_Hunter,,,,,,
don johnson 2006,AOL_expl,20060429,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,ambiguous,,,,,,
donnie mcclurkin,AOL_impl,20060208,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,4: Meme,5: Celebrity,past event,http://www.metrolyrics.com/2006-grammy-awards.html,,,,,
dr phil,MSN_impl,20060512,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
dr. phil,MSN_impl,20060512,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
dr. seuss,AOL_impl,20060303,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=15&cad=rja&ved=0CFoQFjAEOAo&url=http%3A%2F%2Fwww.bellcountyschools.bell.k12.ky.us%2Feducation%2Fcomponents%2Fscrapbook%2Fdefault.php%3Fsectionid%3D1561%26PHPSESSID%3D525916dacd11386aec8257d0b5b8d1f9&ei=smPtUJGLB4mTswbD2YG4Dg&usg=AFQjCNFIeC2_VLAh-RqBKQeDGBpe7sIxgA&sig2=Y8QXQFgqTJiyzfeg6ER08Q&bvm=bv.1357316858,d.Yms",,,,,,
dragon ball,AOL_impl,20060511,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
dragon ball z,AOL_impl,20060511,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
dragon ball z xxx,AOL_impl,20060511,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
dragon tattoo,AOL_impl,20060614,3: Future event (after 31/05/2006),Non-recurrent,Unplanned,3: Anticipated,3: Entertainment,future event,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=80&cad=rja&ved=0CJYBEBYwCThG&url=http%3A%2F%2Fwww.abebooks.com%2FGirl-Dragon-Tattoo-Larsson-Stieg-Knopf%2F8321138591%2Fbd&ei=N2DtUNCENoPJtAaV4oCoBQ&usg=AFQjCNEJQ5gC2W9cSJZRUV4Ieb52yYDDNQ&sig2=DYpe07DpgZsjMILHzCbAlg&bvm=bv.1357316858,d.Yms",,,,,
dragon tattoos,AOL_impl,20060614,3: Future event (after 31/05/2006),Non-recurrent,Unplanned,3: Anticipated,3: Entertainment,,,,,,,
drudge,AOL_impl,20060321,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
drudge report,AOL_impl,20060321,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
drudge report 2006,MSN_expl,20060321,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
earth day,AOL_impl,20060422,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
earth day 2006 in boston,AOL_expl,20060422,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,http://archive.uua.org/re/other/earthday/index.html,,,,,,
easter,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter 2006,MSN_expl,20060416-20060423,1: Past event (before 01/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter baskets,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter brunch,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter bunny,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter cakes,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter cards,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter clipart,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter coloring pages,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter crafts,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter decorations,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter dinner,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter egg decorating,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter egg gifs,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter egg roll white house 2006,AOL_expl,20060416-20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter eggs,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter flowers,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter games,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter gifts,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter ornaments,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter pictures,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter poems,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter recipes,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter songs,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter sunday egg hunt,AOL_expl,20060416-20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
easter vigil,AOL_impl,20060416-20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
eastern airlines crash 1974,AOL_expl,19740911,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
